what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437613975711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614217444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614218678
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614223475
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437614235510
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614243994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614247213
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614247213
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437614252135
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614252369
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437614253432
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614253760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614253823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614310214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614311198
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437614314417
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614318808
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614318839
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614318839
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437614319995
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437614320011
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437614321448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614331136
error,log,,,"Core exception while retrieving the content description",1437614343370
error,log,,,"Core exception while retrieving the content description",1437614343417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614343480
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1437614343495
error,log,,,"Core exception while retrieving the content description",1437614343933
error,log,,,"Core exception while retrieving the content description",1437614343933
error,log,,,"Core exception while retrieving the content description",1437614343933
error,log,,,"Core exception while retrieving the content description",1437614343949
error,log,,,"Core exception while retrieving the content description",1437614343949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614349527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614362042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437614362058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437614433543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616536105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616538417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616563027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437616563027
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437616563324
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437616563402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437616683685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616693341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616709654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437616709669
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437616710013
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437616710076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437616783248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616810393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616811377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616811408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616812643
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437616812658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616819096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616881243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616883524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616885852
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437616892932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616895026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616900010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437616900026
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437616900385
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437616900432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437616907042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437616917604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616919964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616924948
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.local.variable",1437616924964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437616930948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616946183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616949011
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.local.variable",1437616949027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616985136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616985746
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437616985855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616985886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437616986793
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437616991864
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437617011369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437617011494
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437617023994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437617028619
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437617029650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437617033150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437617033510
