what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635074361
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1437635146148
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1437635147908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635158534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635158610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1437635203360
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437635219937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635256964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635258311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635258495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635262552
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437635270819
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437635273594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437635309858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635320060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635332946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437635332957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1437635338155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437635339979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635345506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635347072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1437635347080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1437635387244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1437635389988
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437635391844
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437635409601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635427421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635427598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635435723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635435837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635436723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635436844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635437675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635437856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635483387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635483821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635484434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635484741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635485458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635485771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635486514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437635486698
