what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437626961372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437626961388
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437626961763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437626961935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437627013248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437627115265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437627160843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437627171859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627193156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627194125
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437627194375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627194406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627195000
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437627201500
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437627204328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437627390893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1437627459034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437627503113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627527425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627528019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627544926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627545535
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437627545613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627545629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627549488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627586754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627587817
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437627587879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627587910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627588457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627588848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627589442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1437627627536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1437627628083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627643927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627644645
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437627644708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627644739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627645442
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437627658735
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437627665438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1437627678626
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1437627681110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437627684423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437627694064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627695814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627696204
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1437627696267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627725789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627745914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1437627752226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437627758648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627761617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437627978267
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1437627986072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437628005717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437629445108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437629456765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437629475233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1437629475249
