what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437640881607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640968139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640968288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640968466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640969011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640969141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640969412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640975723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640976063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640976754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640977080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640987451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640987623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640988242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437640988747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641008409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641008583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641009274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641009555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641010234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641010631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1437641023873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641039736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641040055
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1437641047831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641048961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641049222
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1437641052746
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437641056688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1437641060004
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1437641075127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641097561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641097775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437641098602
